cgpa,tenth_percentage,twelfth_percentage,internships,projects,aptitude_score,communication_score,coding_score,backlogs,certifications,placed
6.9,61.93,57.11,0,0,58.96,53.7,22.23,3,2,0
6.46,59.23,58.41,0,3,63.89,59.01,65.17,1,0,0
8.15,77.28,64.58,3,2,81.61,67.63,70.11,3,1,1
7.81,78.4,77.49,2,5,88.23,62.09,70.87,1,2,0
9.81,98.0,79.36,2,4,77.54,92.83,97.81,1,2,1
5.93,61.59,59.11,0,0,45.43,68.5,51.13,2,0,0
8.97,77.93,77.7,2,5,85.8,87.88,86.99,1,1,1
7.09,63.62,72.6,1,1,63.84,47.57,65.51,2,2,0
9.26,81.29,78.19,1,6,71.29,74.89,70.55,2,2,1
6.2,73.53,64.73,1,3,62.95,81.09,55.89,2,2,0
8.69,68.79,74.27,2,1,75.72,57.4,72.55,2,5,1
7.04,77.77,68.45,1,0,60.22,64.3,74.02,2,2,0
5.48,64.21,66.64,1,0,57.1,75.28,50.7,2,1,0
8.53,91.98,77.26,2,4,56.47,78.17,74.13,0,2,1
9.16,97.41,82.51,4,4,99.0,95.09,81.05,1,5,1
7.55,61.83,88.56,3,5,83.19,95.93,99.0,2,1,1
7.86,65.63,61.78,1,4,82.48,65.2,78.89,0,3,0
7.7,78.01,74.46,4,5,89.85,91.68,85.19,0,2,1
7.47,76.68,70.09,2,3,82.81,73.0,62.37,1,3,1
8.43,76.52,71.98,1,3,71.88,55.84,57.0,0,2,1
7.2,67.13,73.33,0,2,53.15,65.11,47.42,0,3,0
6.53,53.77,66.49,0,0,24.95,56.45,15.78,1,1,0
8.59,70.68,68.41,0,3,34.66,38.09,34.54,1,0,0
8.06,69.01,70.48,3,1,63.21,50.02,60.0,1,1,1
7.64,90.57,80.27,0,3,39.72,85.71,56.16,1,1,1
8.17,81.75,66.38,2,0,63.89,54.48,80.73,3,3,0
5.9,62.49,47.43,0,3,37.64,44.67,33.44,2,0,0
7.67,79.44,85.7,2,5,70.79,70.51,66.29,1,5,1
6.85,66.44,73.07,0,3,39.41,61.27,54.94,1,0,0
8.52,71.02,67.24,2,7,89.78,71.8,75.79,2,4,1
7.19,65.42,72.22,3,3,66.76,74.32,77.78,2,1,0
6.72,67.77,66.49,1,0,65.19,58.95,54.51,2,2,0
7.55,60.03,63.18,2,2,40.96,45.56,38.03,2,0,0
7.07,71.09,69.19,1,2,80.29,55.9,54.01,2,1,0
8.99,81.95,96.8,2,6,77.23,76.51,84.87,0,2,1
8.28,97.69,67.56,0,5,72.67,85.95,61.9,1,1,1
8.45,86.52,78.47,1,3,75.59,86.62,76.36,0,4,1
7.43,65.06,61.55,0,1,47.7,64.89,49.43,3,1,0
7.59,69.16,71.87,2,2,63.36,80.56,48.66,2,3,0
8.28,78.33,80.37,2,4,97.98,68.91,79.77,1,2,1
7.39,86.94,82.94,1,3,52.2,62.28,36.48,0,2,1
6.86,63.15,63.6,0,0,55.24,76.98,58.07,3,2,0
6.74,67.82,63.73,0,0,38.64,30.47,36.14,0,1,0
6.67,62.3,65.37,1,2,69.39,57.66,64.37,2,2,0
7.47,70.74,69.26,2,4,65.27,69.93,80.74,3,1,1
6.69,64.32,60.15,0,0,49.14,58.27,40.63,2,0,0
5.92,65.56,55.6,0,1,36.71,60.65,26.9,1,0,0
8.48,93.38,76.67,0,3,71.42,70.51,67.51,0,3,1
6.53,63.52,65.98,1,5,76.97,88.43,72.49,3,3,1
7.83,84.05,73.8,2,3,90.47,64.2,79.7,0,4,1
6.28,59.72,56.1,1,0,60.14,64.93,43.08,2,1,0
5.42,59.52,68.25,0,0,27.61,68.88,31.17,2,0,1
5.46,59.16,50.84,1,0,51.44,72.87,61.81,2,0,0
7.89,73.26,77.77,1,2,80.2,66.01,67.74,1,3,0
7.54,66.34,70.84,1,2,70.23,55.0,66.85,2,2,0
9.75,85.47,84.78,3,2,82.84,70.18,71.64,0,0,1
7.02,55.83,67.45,2,6,65.7,44.86,49.69,3,2,0
6.87,64.53,69.66,1,2,49.24,63.3,62.46,1,2,1
5.19,48.02,48.98,2,1,40.7,50.47,32.92,2,1,0
7.69,82.92,77.44,1,0,64.59,76.52,72.25,1,3,1
7.33,64.29,60.89,1,2,46.78,51.24,30.05,3,1,0
8.06,69.86,74.25,3,5,87.93,81.19,89.73,1,4,1
7.85,78.4,85.73,0,4,86.81,74.35,77.88,1,4,1
7.37,74.23,72.28,1,2,63.3,76.05,58.54,0,1,0
8.17,75.81,83.24,1,4,62.98,75.46,71.37,0,1,1
8.07,81.3,77.15,3,3,81.26,65.83,77.77,1,1,0
6.48,63.93,67.5,1,0,59.92,42.11,43.4,1,0,0
7.2,69.32,67.67,1,0,43.78,50.36,51.56,2,0,0
8.16,85.05,92.08,1,2,81.02,76.05,82.39,0,5,1
6.15,60.38,56.9,0,0,55.89,45.84,51.34,3,0,0
8.16,81.86,71.52,2,4,79.42,87.98,60.19,1,3,1
6.02,54.75,55.73,1,0,55.23,57.66,66.15,2,1,0
6.11,54.96,50.17,0,2,56.55,51.18,34.41,2,2,0
7.64,71.13,75.28,0,3,35.89,60.43,37.28,2,1,0
6.79,69.55,67.22,1,2,52.49,46.48,56.09,3,2,0
6.87,65.75,62.91,2,6,72.65,50.18,71.54,2,3,1
6.35,49.84,56.61,0,0,48.18,45.73,45.55,2,0,0
8.78,81.58,59.87,2,0,55.74,62.52,52.14,2,0,0
8.45,83.21,86.89,4,4,94.54,82.78,99.0,1,6,1
7.76,79.08,81.08,1,3,86.7,69.16,63.52,2,5,1
6.82,54.34,71.18,3,3,90.06,61.89,69.11,1,3,1
7.83,71.67,72.09,1,2,74.15,63.32,68.98,1,1,0
7.91,74.08,75.19,1,4,77.83,63.23,71.79,2,1,0
6.54,58.88,70.55,2,1,42.69,44.53,42.54,0,0,0
8.59,86.62,78.37,1,2,60.16,64.46,88.08,1,2,1
6.95,68.01,71.3,1,3,56.79,65.15,52.17,0,1,0
8.92,91.4,79.07,3,4,81.41,74.63,95.41,2,3,1
7.89,79.54,70.29,0,4,82.61,85.27,81.31,2,2,1
7.91,63.57,69.71,0,2,68.19,53.15,42.18,1,1,1
8.69,83.34,82.77,1,4,66.42,55.7,58.31,1,1,1
5.56,57.6,44.46,0,2,45.52,48.24,28.63,2,0,0
7.2,64.13,58.4,1,2,55.99,72.81,45.42,2,0,0
6.3,64.42,57.32,1,0,51.75,57.35,38.83,3,1,0
6.49,65.56,73.36,2,5,61.95,48.26,57.69,2,2,1
6.1,60.59,59.74,0,0,41.06,29.45,24.43,3,2,0
7.67,86.83,87.37,0,3,78.99,58.66,72.31,1,1,0
6.48,59.96,57.22,0,1,39.83,45.62,33.1,1,2,0
6.94,67.43,67.72,1,1,51.8,66.29,58.49,3,2,0
8.42,80.16,84.31,3,4,91.31,89.75,91.47,0,4,1
7.72,86.69,83.41,2,5,93.01,89.79,99.0,1,3,1
6.92,61.54,67.75,3,6,60.14,61.01,53.39,1,0,1
6.79,74.94,90.49,0,3,46.83,43.8,64.09,1,1,1
8.19,83.82,83.1,0,2,61.25,50.48,45.52,0,0,1
8.03,89.68,76.87,1,5,70.46,55.64,61.85,2,2,0
9.49,97.15,90.89,3,5,82.5,72.26,85.25,0,3,1
7.74,74.19,76.44,0,2,68.09,53.76,63.19,2,2,0
6.16,58.61,53.82,0,2,51.27,61.63,46.9,3,1,0
5.71,65.48,63.67,3,0,41.4,40.75,43.8,2,2,0
7.43,77.98,78.42,1,1,42.48,39.21,54.66,1,0,0
5.06,68.88,56.63,0,0,46.94,26.49,41.56,2,0,0
8.82,83.72,87.64,1,4,68.2,67.26,70.44,0,1,0
8.12,69.29,90.38,0,1,77.33,74.46,65.91,1,2,1
6.51,55.54,56.41,3,0,52.43,55.92,41.93,3,2,0
7.97,62.8,79.78,3,0,71.57,53.42,68.15,1,1,0
5.96,54.78,61.11,0,0,37.59,42.25,41.88,2,1,0
8.33,76.57,80.95,2,5,95.32,82.2,99.0,0,3,1
6.97,85.53,70.4,0,0,24.42,44.86,25.84,2,0,0
8.42,87.58,88.72,1,5,95.78,87.55,82.19,0,5,1
8.79,88.68,72.01,1,2,78.71,56.45,69.93,2,3,0
6.28,71.33,73.15,0,2,39.92,44.54,34.37,3,0,0
7.66,78.28,70.34,0,1,67.04,67.09,73.92,1,1,0
5.33,60.21,51.07,1,1,54.95,52.05,39.22,1,0,0
7.76,68.11,77.09,1,3,57.28,51.27,58.2,1,1,0
7.16,72.77,81.88,2,6,93.77,60.6,90.82,1,5,1
9.56,94.7,63.73,2,5,89.78,68.04,99.0,1,2,1
7.29,68.44,74.72,0,0,56.85,53.0,51.89,1,2,0
6.63,61.57,53.46,1,0,45.12,50.36,39.91,3,1,0
7.07,62.53,70.89,1,3,54.75,63.62,62.83,2,2,0
5.48,47.06,53.82,2,4,41.2,73.51,65.24,1,3,0
5.52,59.68,53.02,0,0,43.18,62.15,46.59,3,0,0
6.52,59.55,62.44,0,0,52.93,53.65,53.44,3,1,0
6.13,68.22,53.08,0,0,26.66,32.08,26.91,2,1,0
7.55,75.05,78.97,1,5,53.49,57.01,49.99,2,0,0
6.63,57.17,55.8,2,3,47.6,64.51,39.58,2,1,0
7.17,76.32,66.72,2,1,83.96,64.95,65.45,0,2,1
8.26,83.86,68.21,1,5,74.99,93.52,64.21,1,2,1
7.24,62.53,71.77,2,1,56.3,72.54,59.03,5,3,0
6.83,67.71,58.08,3,0,81.88,59.88,75.37,1,2,1
7.31,82.46,71.89,1,3,69.13,42.48,76.1,3,4,0
7.46,62.8,65.15,1,3,57.46,73.94,71.58,1,0,1
8.31,93.46,73.01,2,2,87.57,47.09,81.34,2,5,1
8.63,81.49,86.49,2,3,83.39,87.78,91.47,1,5,1
6.69,62.72,60.82,3,4,69.43,55.4,90.56,3,3,1
8.24,63.9,74.26,2,1,66.95,81.47,70.58,3,2,1
8.33,76.87,72.14,1,3,72.44,60.43,54.69,1,1,1
6.82,71.64,68.32,0,2,34.49,58.63,50.2,2,0,0
8.96,84.59,84.22,4,6,68.11,77.8,69.28,2,1,1
7.15,73.57,79.53,3,3,75.33,80.47,68.51,1,3,1
8.19,74.22,82.16,3,3,91.12,64.12,76.01,0,3,1
6.47,66.25,66.88,1,0,44.35,47.87,20.1,3,0,0
7.57,76.78,65.68,0,3,99.0,63.08,76.71,3,2,0
5.91,54.63,58.53,0,0,38.28,30.52,27.45,3,0,0
9.17,88.07,77.4,2,3,79.86,66.74,84.59,0,4,1
8.5,87.92,84.15,1,2,77.15,66.11,63.86,2,2,0
5.44,64.3,40.0,0,0,45.22,49.89,28.03,3,2,0
6.37,65.76,61.69,1,2,31.26,34.32,34.41,2,0,0
7.29,62.91,81.56,1,1,66.24,62.88,42.77,2,2,0
6.91,74.52,81.99,1,1,77.43,77.42,59.17,2,2,1
7.13,85.4,77.35,2,3,65.09,67.77,63.7,1,3,1
7.46,73.51,63.36,2,5,75.46,66.27,67.86,1,0,1
8.12,88.15,88.77,1,3,86.5,73.88,58.42,1,1,0
8.11,64.71,67.82,1,2,67.42,88.04,67.92,2,2,0
7.07,74.34,63.79,1,1,64.1,38.01,49.7,2,0,0
5.89,50.08,58.06,0,0,39.28,47.99,26.94,2,2,0
8.81,95.46,82.53,2,3,90.94,74.52,92.43,2,2,1
6.21,56.92,52.43,1,1,39.91,34.66,19.85,2,0,0
7.66,69.42,70.97,3,3,82.55,64.76,73.28,3,3,0
7.16,63.84,61.02,2,2,67.68,52.07,47.84,1,1,0
8.38,79.02,79.86,0,4,79.79,64.67,83.23,3,3,1
8.6,86.15,85.22,3,6,88.23,64.66,94.81,2,4,1
8.03,76.92,59.06,1,5,71.35,90.05,66.79,2,1,0
7.11,64.01,70.69,2,1,64.81,61.92,57.19,3,2,1
7.03,65.87,75.74,2,0,54.67,60.77,53.02,2,0,0
8.17,83.06,76.96,2,4,94.21,89.15,85.07,3,3,1
6.66,74.17,73.3,0,3,61.14,65.55,64.33,2,3,1
5.44,54.55,62.61,0,0,37.62,71.88,32.44,1,0,0
7.15,72.54,65.78,1,1,42.73,41.51,49.79,3,1,0
7.52,72.26,62.48,2,0,58.31,67.44,57.97,0,1,1
7.3,74.85,74.74,2,5,57.46,55.83,62.61,2,0,0
5.72,55.58,55.87,0,4,63.39,55.84,53.55,2,4,1
5.84,59.28,48.0,1,1,50.24,58.73,26.54,3,0,0
7.36,73.33,77.09,1,5,99.0,66.53,92.46,2,3,1
6.07,65.87,59.41,0,1,44.26,41.23,32.07,3,0,0
9.23,83.42,83.13,3,4,88.42,89.96,94.36,1,2,1
6.81,67.79,65.09,0,1,48.29,81.71,40.79,1,2,0
5.51,58.04,69.13,0,0,43.47,41.06,36.8,3,0,0
8.26,73.14,63.17,1,5,86.63,70.89,83.31,1,3,1
7.78,81.12,77.84,0,5,86.44,67.72,81.8,0,2,1
8.61,79.67,73.91,1,1,75.41,61.23,77.97,2,0,1
9.26,84.84,81.9,1,2,75.25,63.93,77.13,0,3,1
7.35,73.48,80.88,0,0,49.62,32.31,36.66,1,2,0
5.99,62.73,63.43,2,2,70.61,49.43,50.54,2,1,0
7.31,58.43,66.91,1,2,40.36,61.39,43.03,2,0,0
6.04,53.83,52.49,0,3,53.68,59.9,61.44,2,0,0
8.62,77.49,75.0,0,1,59.44,55.2,43.23,0,2,0
6.04,70.23,74.66,2,1,59.99,34.55,43.6,3,4,0
7.56,71.48,79.69,4,2,91.08,71.87,84.27,0,2,1
8.97,74.14,78.89,1,3,98.34,58.78,90.59,3,1,0
6.07,63.21,55.74,0,2,62.7,84.16,74.41,3,3,0
7.37,77.81,86.49,3,2,60.26,79.28,71.31,3,4,0
6.03,63.69,56.99,0,4,50.81,63.64,60.37,1,2,0
6.34,45.68,57.95,1,0,43.49,61.71,58.55,2,2,0
9.43,96.23,78.69,3,7,83.66,99.0,75.94,2,5,1
8.36,81.82,80.26,0,2,51.26,41.41,37.17,3,0,0
6.47,61.08,56.07,0,2,66.2,70.72,52.04,2,1,1
5.5,59.98,53.63,0,1,47.38,81.44,36.19,4,0,0
6.06,65.26,54.24,0,0,33.74,61.66,33.25,2,0,0
5.0,52.05,65.7,0,0,44.86,49.2,58.36,3,0,0
8.97,85.6,95.16,0,6,81.24,67.06,71.72,0,3,1
7.95,63.0,63.84,2,1,52.37,47.43,38.6,2,0,0
7.34,83.65,78.27,1,1,65.12,62.47,63.28,2,4,0
7.88,74.52,75.96,4,5,87.79,79.86,77.88,3,2,1
7.74,62.83,76.1,1,5,81.44,68.58,70.17,3,3,0
6.66,69.27,63.77,0,0,36.19,42.67,26.58,2,0,0
7.8,79.52,80.67,2,4,86.06,55.39,70.2,1,4,1
7.37,79.42,73.85,1,4,65.82,63.85,82.8,2,0,1
7.98,67.27,76.39,3,0,67.91,79.45,70.39,1,1,0
8.55,80.14,76.53,1,5,80.45,60.82,87.72,2,3,1
7.69,66.17,69.86,1,2,52.8,83.56,46.94,0,0,1
6.46,60.4,69.09,0,1,53.12,58.9,50.92,0,1,0
8.04,66.13,76.39,2,0,69.71,84.39,57.79,1,2,0
7.2,78.92,77.89,1,2,80.81,60.25,68.32,4,0,0
7.66,77.01,79.8,1,3,68.74,63.4,72.33,0,4,1
7.79,90.93,75.11,1,2,47.07,75.8,61.57,0,0,0
6.22,55.83,68.64,1,5,67.18,38.85,66.56,1,0,1
8.65,70.89,84.21,1,1,67.45,56.89,43.83,2,2,0
5.41,68.05,61.61,0,0,31.17,37.48,15.0,2,0,0
7.45,70.52,57.67,0,0,53.31,51.96,60.42,1,2,0
6.65,67.04,61.42,2,1,39.16,55.19,15.0,2,0,0
9.09,85.6,77.82,4,4,87.73,81.84,80.73,0,5,1
7.6,70.99,80.85,1,0,64.98,71.54,55.6,2,3,0
7.07,61.34,66.08,0,2,50.82,66.71,48.35,2,0,0
6.94,56.53,55.76,0,1,33.16,47.66,24.57,1,0,0
7.22,60.98,62.58,0,4,60.93,71.55,42.63,1,0,0
8.25,73.17,87.07,0,0,57.39,72.09,39.74,1,1,0
7.03,66.08,66.63,0,0,57.26,31.3,52.6,4,3,0
5.75,62.57,49.6,0,2,53.25,42.15,59.57,2,1,0
7.26,66.44,70.1,1,2,67.4,58.03,72.84,1,2,0
6.0,56.86,59.41,1,0,37.07,43.62,43.66,2,0,0
6.31,58.75,56.36,1,0,42.54,36.91,47.48,2,3,0
7.38,74.17,74.44,1,0,65.45,55.01,62.99,1,1,0
8.29,85.52,78.1,0,3,66.62,77.27,62.84,2,4,0
7.29,78.04,76.06,2,1,65.96,80.68,63.29,2,2,1
5.86,52.96,51.36,0,0,38.66,52.22,24.22,3,0,0
6.79,60.2,62.98,0,0,44.1,38.14,33.52,0,0,0
7.82,58.06,74.47,0,0,67.58,66.08,58.11,1,4,0
8.67,86.37,81.29,2,3,68.08,75.42,65.02,1,4,1
7.32,72.38,77.49,1,2,55.17,57.07,27.86,2,1,0
8.71,85.39,80.94,4,7,90.9,91.91,94.21,0,2,1
6.73,58.69,72.74,2,0,70.0,58.78,52.2,2,0,0
6.47,57.49,69.29,0,1,45.71,29.93,52.48,2,1,0
6.87,77.11,71.61,1,0,48.24,55.57,31.95,1,0,0
7.33,74.03,69.6,1,0,51.71,40.05,15.0,1,0,0
6.89,66.34,69.86,0,1,61.85,60.33,74.74,2,2,0
9.83,98.0,98.0,1,4,62.95,99.0,67.81,2,3,1
6.04,65.81,66.09,0,0,28.88,53.05,30.27,3,0,0
5.92,54.62,51.08,0,0,38.97,48.31,15.0,2,0,0
7.81,74.84,90.61,0,2,86.71,68.82,83.56,1,1,1
7.32,72.02,76.12,1,5,72.02,64.79,66.25,2,2,1
6.42,67.05,76.94,4,2,51.12,82.02,61.81,3,2,0
6.77,70.65,70.73,0,2,38.24,56.32,15.92,0,0,0
6.41,56.21,66.07,1,2,35.53,51.47,35.91,2,2,0
8.86,92.3,84.28,1,3,78.82,93.74,97.82,0,1,1
8.59,78.63,81.49,4,6,99.0,87.22,95.7,1,3,1
8.17,91.11,74.59,2,3,73.75,49.91,53.35,0,0,0
6.49,70.14,58.68,0,0,48.04,39.47,15.0,2,0,0
